date,news
2024-08-06,医药生物行业跟踪分析：建议关注院内诊疗相关资产修复 过去一年国家开展了系统性医疗反腐工作，对医疗行为进行规范，为未来真正具备临床价值的诊疗行为提供了更广阔和健康的发展空间。在工作执行的过程中，医疗机构的诊疗活动、上游产品（药/械）出现一定波动。随着行业的规范化，我们认为医疗板块将逐步回到健康的成长轨道上。
2024-08-05,医药2024年08月投资月报：创新药支持政策持续推进，板块后续有望迎来触底回升 
2024-08-04,新股交投热度略有升温，但局部活跃方向或强调底部配置 新股周观点：上周新股次新板块二级市场交投活跃度有所升温，但结构性分化特征依旧未改；从局部活跃方向来看，市场对于安全边际的重视度可能依然较高，凸显当前风险偏好相对受制。
2024-07-30,医药行业周报：DRG/DIP 2.0版本发布，ESMO、WCLC逐渐临近
2024-07-28,医药行业周报：维生素品种价格提升，关注后续业绩趋势
2024-07-24,北交所策略专题报告：现金为王-从现金角度看当前北交所公司投资机会
2024-07-23,医药行业周报：板块机构持仓进一步下行，建议继续加强对医药关注
2024-07-22,医药生物行业跨市场周报：公募基金医药持仓占比降至五年低位，有望企稳回升
2024-07-21,北交所策略专题报告：北交所周观察-2024Q248家公司进入各类基金前十大名单，非主题基金
2024-07-20,北交所周报：北证50指数超跌反弹，中期业绩预报频传喜讯
2024-07-18,北交所：北交所放量上涨，预计热度将持续。前期北证板块调整较多，现阶段估值水平相对较低，板块投资价值凸显，因此我们认为北证板块交易热度将持续，可关注板块估值修复机会。
2024-07-17,北交所策略专题报告：估值为尺-北证回调已至低点，回购+增持+股权激励增信心
2024-07-15,医药行业周报：板块初现企稳趋势，建议继续加强对医药关注
2024-07-14,北交所策略专题报告：已至低点-从PB角度看北交所市场估值中枢情况北交所整体PE估值性价比高，进入配置窗口期 截至2024年7月8日，北证50指数为667.15点，与上一轮周期低点（2024年2月5日）734.74点相比已经低了76.59点。
2024-07-13,医药行业周报：关注低估值板块超跌反弹 行情回顾：本周医药生物指数下跌0.08%，跑输沪深300指数1.29个百分点，行业涨跌幅排名第21。2024年初以来至今，医药行业下跌21.07%，跑输沪深300指数22.27个百分点，行业涨跌幅排名第26。
2024-07-08,医药行业周报：全链条支持创新药政策落地，建议继续加强对医药关注 07月01日-07月05日医药生物板块跑赢沪深300指数，医药生物板块全周上涨0.10%，沪深300指数全周下跌0.88%。 2024年7月5日，国务院常务会议审议通过《全链条支持创新药发展实施方案》。
2024-07-07,北交所周报：北交所公司半年报披露时间确定，锦波生物上半年业绩亮眼 周观点：本周，北交所整体表现较弱，北证50指数周跌幅约2.4%。板块整周成交额达到134.1亿元，较上周减少12.3亿元，流动性小幅下降。
2024-07-06,医药行业周报：创新药迎来政策利好 行情回顾：本周医药生物指数上涨0.11%，跑赢沪深300指数0.99个百分点，行业涨跌幅排名第10。
2024-07-04,医药2024年07月投资月报：Q3来临，建议加强对医药关注 2024年06月沪深300指数全月下跌3.30%，中信医药指数全月下跌8.12%，跑输沪深300指数。 2024年5月以来医药板块持续调整，分析来看，我们认为医药板块下行源于前期反弹、政策变化等多因素影响
2024-07-02,北交所机械月报：6月机床设备等板块领涨；关注新质生产力、设备更新领域
2024-06-30,北交所周观察：2024H1受理30家IPO远超沪深，10家新股首日涨幅超110%
2024-06-29,北交所周报：北证50指数震荡调整，多家公司公告回购增持 北证50指数周涨跌幅为-2.96%，行业涨跌分化。本周北证50涨跌幅为-2.96%。
2024-06-26,医药行业周报：板块调整积蓄向上动能，当前可加强对医药关注 06月17日-06月21日医药生物板块跑输沪深300指数，医药生物板块全周下跌2.64%，沪深300指数全周下跌1.30%。 5月以来，医药板块持续调整，中信医药生物指数下跌8.6%（沪深300同期下跌3.0%），
2024-06-23,北交所周观察：财政部等支持专精特新企业发展，北交所“小巨人”占比53%
2024-06-18,医药行业周报：医疗设备更新政策进展频发，继续重点关注医疗器械 06月10日-06月14日医药生物板块跑赢沪深300指数，医药生物板块全周下跌0.70%，沪深300指数全周下跌0.91%。 自2020年以来，全国各地开始逐渐重视医疗补短板和新基建。
2024-06-16,北交所策略专题报告：北交所周观察-成电光信和太湖远大北交所上会，72家公司调入新三板 72家公司调入新三板创新层，2024年前四批共有370家公司调入 2024年6月14日，全国股转公司公布2024年第四批调入创新层的挂牌公司名单，共计72家公司调入创新层。
2024-06-11,医药行业周报：政策框架稳定，继续加强关注医药板块06月03日-06月07日医药生物板块跑输沪深300指数，医药生物板块全周下跌1.76%，沪深300指数全周下跌0.16%。 6月6日，国务院办公厅发布《深化医药卫生体制改革2024年重点工作任务》。
2024-06-10,北交所策略专题报告：北交所周观察-2024年100家挂牌新三板，时隔四个月北交所重启上市.2024年100家挂牌新三板，5月新受理15家业绩中值超5500万元 本期周观察，我们继续把研究视角聚集到新三板新挂牌和新受理公司情况，整体来看，我们发现新三板新挂牌企业质量持续提升，多家公司盈利规模较大
2024-06-04,医药2024年06月投资月报：加强关注医药板块，继续重点推荐创新方向.2024年05月大盘下跌，沪深300指数全月下跌0.68%，中信医药指数全月下跌3.80%，跑输沪深300指数。 近期，医药板块在经历短暂上行后，再次进入调整阶段，估值和机构持仓重回至历史低位水平。
2024-06-02,医药生物行业跨市场周报：康方依沃西单药首胜帕博利珠，建议关注双抗技术领域 行情回顾：上周，A股医药生物指数下跌0.94%，跑输沪深300指数0.34pp，跑输创业板综指1.09pp，在31个子行业中排名第19，表现一般。港股恒生医疗健康指数上周收跌1.52%，跑赢恒生国企指数1.70pp。 
2024-05-31,融资融券研究日报内参 【两融市场数据】 截至2024年5月29日，两市融资融券余额15305.06亿元，其中融资余额为14917.12亿元，融券余额为387.94亿元。
2024-05-27,医药生物行业周报：医药股息率3%+、增速10%+的公司有哪些？一、当周（5.20-5.24）回顾与周专题： 当周（5.20-5.24）申万医药指数环比-3.74%，涨跌幅列全行业第17位，跑输创业板指数，跑输沪深300指数。
2024-05-26,北交所策略专题报告：北交所周观察-减持新规落地，北交所保留特色制度下新增防范绕道 北交所修订减持指引，保留现有特色制度下新增防范绕道减持等要求 2024年5月24日，证监会发布《上市公司股东减持股份管理暂行办法》、《上市公司董事、监事和高级管理人员所持本公司股份及其变动管理规则》
2024-05-25,医药生物周跟踪：2024年医药集采方向 本周思考：医药集采提质扩面政策，2024年集采深化的方向 药品方面的集采深化。湖北继续牵头中成药集采、山东牵头中药饮片集采、河南牵头国家组织集采可替代药品集采、三明联盟开展肿瘤和呼吸系统疾病用药集采等药品全国联采工作。 
2024-05-23,北交所专题报告：24Q1重仓北证A股的基金数量加速上升，长期资金开始布局 24Q1北证A股机构总持股比例环比微降，但长期资金开始布局，北交所机构投资者多元化程度进一步提升 根据Wind数据，24Q1北证A股机构持股比例合计（平均法）为16.93%，环比微降（-0.54pct）。
2024-05-20,医药行业周报：需求侧潜力依旧+“智造”出海，建议重点关注医疗器械 05月13日-05月17日医药生物板块跑输沪深300指数，医药生物板块全周下跌1.98%，沪深300指数全周上涨0.32%。 
2024-05-18,医药生物周跟踪：下半年新药看哪些？本周思考：国产创新药进入收获期，哪些品类值得关注？ 存量品种看，2023全年获批国产新药23款，2024年1-4月共获批6款国产1类新药，重点品种包括：京新药业的安达西尼（失眠）、迪哲医药的舒沃替尼（NSCLC）
2024-05-14,医药行业周报：新技术进展不断，继续关注创新主线 投资要点 05月06日-05月10日医药生物板块跑赢沪深300指数，医药生物板块全周上涨2.69%，沪深300指数全周上涨1.72%。 当前，随着技术发展、政策支持、资本加持，合成生物学赛道备受关注。
2024-05-12,医药生物行业周跟踪：如何看合成生物、干细胞新进展？4月25日~29日，2024中关村论坛年会在北京举办，北京化工大学校长、中国工程院院士谭天伟透露，目前由发改委牵头，工信部和科技部等国家部委正在联合研制国家生物技术和生物制造行动计划，并且有望在近期出台。
2024-05-11,医药行业周报：短期反弹，后续看估值和业绩匹配度 行情回顾：本周医药生物指数上涨2.6%，跑赢沪深300指数0.89个百分点，行业涨跌幅排名第12。2024年初以来至今，医药行业下跌7.4%，跑输沪深300指数14.3个百分点，行业涨跌幅排名第25。
2024-05-07,医药2024年05月投资月报：一季报延续稳健增长，板块性价比正持续提升
2024-05-05,制药和Biotech行业2023年报及2024年1季报总结：把握创新药资产布局机会 长期持续趋势向好，创新落地驱动业绩持续改善。根据Wind数据，我们纳入了58家A股化学制药公司进行分析，行业整体23年营收同比增速为2.8%
2024-04-30,医药行业周报：医药机构持仓回落至中低位水平，板块性价比正持续提升，04月22日-04月26日医药生物板块跑赢沪深300指数，医药生物板块全周上涨4.61%，沪深300指数全周上涨1.20%。
2024-04-28,医药生物行业跟踪分析：把握创新药资产布局机会 核心观点： 本周申万医药指数上涨3.59%，涨幅在全行业排名靠前。截至2024年4月26日，周内申万医药生物指数上涨3.59%，跑赢沪深300指数约2.08个百分点，在所有32个申万一级子行业中跌幅排名第7位。
2024-04-27,医药行业周报：看好医药反弹 行情回顾：本周医药生物指数上涨4.4%，跑赢沪深300指数3.2个百分点，行业涨跌幅排名第6。
2024-04-23,医药行业周报：继续重点关注医药板块中的高胜率资产 04月15日-04月19日医药生物板块跑输沪深300指数，医药生物板块全周下跌1.67%，沪深300指数全周上涨1.89%。 2024年市场风格迎来一定程度的变化，聚焦于医药板块，一方面我们继续建议重点关注创新主线方向
2024-04-21,北交所策略专题报告：北交所周观察-“920”代码号段正式启用，北交所“新时代”来临 北交所“920”代码号段正式启用，北交所“新时代”来临 从时间脉络来看，半年时间顺利推出920新号码号段功能。
2024-04-20,医药行业周报：持续关注底部个股 行情回顾：本周医药生物指数下跌1.7%，跑输沪深300指数3.6个百分点，行业涨跌幅排名第19。
2024-04-16,北交所定期报告（24W15）：北证50指数环比下行，本周1家公司完成上市辅导验收
2024-04-15,医药行业周报：药械领域落地支持政策，继续推荐创新+高胜率资产 04月01日-04月05日医药生物板块跑输沪深300指数，医药生物板块全周上涨0.41%，沪深300指数全周上涨0.86%。 近期，药械领域支持政策相继出台。
2024-04-14,新药周观点：AACR2024闭幕，国产ADC药物方兴未艾 本周新药行情回顾： 2024年4月8日-2024年4月12日，新药板块涨幅前5企业：华领医药（20.77%），云顶新耀（19.68%），乐普生物（15.36%），康宁杰瑞（12.71%），和黄医药（10.71%）。
2024-04-13,医药行业周报：建议布局医药底部个股 投资要点 行情回顾：本周医药生物指数下跌3.0%，跑输沪深300指数0.5个百分点，行业涨跌幅排名第18。
2024-04-08,医药行业周报：脑机接口进展频现，继续推荐创新+高胜率资产 投资要点 04月01日-04月05日医药生物板块跑输沪深300指数，医药生物板块全周上涨0.41%，沪深300指数全周上涨0.86%。 我国脑接机口研究正加快国产替代与自主创新步伐。
2024-04-07,医药行业2024年4月投资月报：关注医药三大方向 行情回顾：2024年1-3月，申万医药指数下跌12.08%，跑输沪深300指数15.2pp，年初以来医药行业涨跌幅排名第32。
2024-04-05,医药行业周报：胰岛素续约政策逐步温和化 行情回顾：本周医药生物指数上涨0.6%，跑输沪深300指数0.3个百分点，行业涨跌幅排名第21。
2024-04-01,医药2024年04月投资月报：短期关注业绩+产业进展，继续推荐创新+高胜率资产 2024年03月大盘上涨，沪深300指数全月上涨0.61%，中信医药指数全月下跌2.17%，跑输沪深300指数。 
2024-03-30,医药行业周报：持续看好AI医疗方向和底部个股 行情回顾：本周医药生物指数下跌2.3%，跑输沪深300指数2.1个百分点，行业涨跌幅排名第26。2024年初以来至今，医药行业下跌12.1%，跑输沪深300指数15.2个百分点，行业涨跌幅排名第32。
2024-03-29,北交所专题报告：医药行业蓄势待发，寻找北交所优质企业 全球药物使用与支出持续增长。医药行业是维护全球健康的关键，药品和疫苗对提高人类寿命和生活质量起着至关重要的作用。人类通过不断的研究和技术创新，推动了医疗科学的进步。
2024-03-26,医药行业周报：AI多维度赋能医药产业，继续关注创新+高胜率资产 03月18日-03月22日医药生物板块跑输沪深300指数，医药生物板块全周下跌2.18%，沪深300指数全周下跌0.70%。 AI领域发展近期备受关注，AI在医疗领域的应用充满巨大潜力。
2024-03-24,市场情绪监控周报：本周热度变化最大行业为综合、农林牧渔 本周市场热度跟踪 本周宽基热度变化方面：热度变化率最大的为中证1000，相比上周提高9.23%，最小的为沪深300，相比上周降低8.75%。
2024-03-23,医药行业周报：关注AI医疗方向 行情回顾：本周医药生物指数下跌2.13%，跑输沪深300指数1.43个百分点，行业涨跌幅排名第31。2024年初以来至今，医药行业下跌9.99%，跑输沪深300指数13.31个百分点，行业涨跌幅排名第32。
2024-03-20,北交所策略专题报告：新质生产力燃升北交所，龙头标的全解析 新质生产力为经济发展重点，北交所是新兴行业中小企业培育优选融资市场 政府工作报告中提出，大力推进现代化产业体系建设，加快发展新质生产力。此次新质生产力产业链主要包括智能网联新能源汽车、氢能、新材料、创新药、生物制造、商业航天
2024-03-19,北交所首次覆盖报告：药物创制平台专精特新企业，期待多款口崩制剂新品 公司情况：药品创制平台专精特新企业，注重CMC/CMO业务 星昊医药专注新药和仿制药的研究与商业化，聚焦于自身核心技术产业化的CMC/CMO一体化服务，根据业绩快报，2023年星昊医药的营收为7.18亿元，同比增加18.20%，
2024-03-18,医药行业周报：产业趋势持续向好，创新药领域进展不断 03月11日-03月15日医药生物板块跑赢沪深300指数，医药生物板块全周上涨4.62%，沪深300指数全周上涨0.71%。 近年国产创新药品种的licenseout持续加速，真正具备全球疗效差异化的品种商业化路径清晰。
2024-03-16,医药行业周报：创新药热度提升，持续看好 行情回顾：本周医药生物指数上涨4.6%，跑赢沪深300指数3.89个百分点，行业涨跌幅排名第7。2024年初以来至今，医药行业下跌8.03%，跑输沪深300指数12.07个百分点，行业涨跌幅排名第30。
2024-03-11,医药行业周报：关注医药板块中高胜率资产，创新仍是主线方向 03月04日-03月08日医药生物板块跑输沪深300指数，医药生物板块全周下跌2.18%，沪深300指数全周上涨0.20%。 大波动后市场风格迎来重塑，以高ROE/ROA/ROIC、高净利润增速/营收增速、高分红等为代表的高胜率资产
2024-03-10,2023年北交所业绩快报全梳理：见微知著 北证业绩快报全部披露，年报业绩风险释放。截止到2024年2月29日，北证和科创板均已经全员披露业绩快报。北交所23年业绩风险释放，市场关注点转向2024年业绩预期。 
2024-03-09,医药行业周报：持续看好医药三大方向 行情回顾：本周医药生物指数下跌2.24%，跑输沪深300指数2.44个百分点，行业涨跌幅排名第28。2024年初以来至今，医药行业下跌12.07%，跑输沪深300指数15.38个百分点，行业涨跌幅排名第31。
2024-03-07,医药行业2024年3月投资月报：看好创新药、医疗器械、医药高股息公司 行情回顾：2023年全年，申万医药指数下跌7.1%，跑赢沪深300指数4.3%，2023年医药行业涨跌幅排名第16。2024年2月申万医药指数上涨10.5%，跑赢沪深300指数1.15%，月初以来行业涨跌幅排名第9。
2024-03-05,医药2024年03月投资月报：业绩披露期渐近，继续关注创新+业绩估值高性价比两个方向 投资要点 2024年02月大盘上涨，沪深300指数全月上涨9.35%，中信医药指数全月上涨10.59%，跑赢沪深300指数。 2024年初至今，医药板块走势在全市场各细分行业中排名靠后，估值和机构持仓回落至历史低位水平。
2024-03-04,北交所研究月报：扩容继续推进，行情边际回暖 整体情况：（1）截至2/29，北交所共有244家上市公司，总市值为0.39万亿元。（2）北交所上市企业中制造、消费、科技占比大，“专精特新”属性突出。
2024-03-03,医药生物行业跟踪周报：IVD领域多因素共振，重点推荐新产业、安图生物等 本周、年初至今医药指数涨幅分别为1.72%、-10.05%，相对沪指的超额收益分别为0.34%、-13.16%；本周生物制品、化药及器械等股价涨幅较大，医药商业、中药及医疗服务等股价涨幅较小
2024-03-02,医药生物3月月报：把握弹性、兼顾红利；重点布局Q1业绩 2月回顾：触底反弹，坚定看好2024年医药行情。2024年2月医药生物板块上涨10.50%，同期沪深300上涨9.35%，医药板块跑赢沪深300约1.15%，位列31个子行业第9位。
2024-02-26,医药行业周报：创新药行业保持快速发展趋势，继续关注创新+业绩估值高性价比两个方向 02月19日-02月23日医药生物板块跑输大盘，医药生物板块全周上涨2.09%，沪深300指数全周上涨3.71%。 进入2024年，医药板块估值和机构持仓回落至历史低位水平。
2024-02-25,医药行业周报：创新药行业保持快速发展趋势，继续关注创新+业绩估值高性价比两个方向 02月19日-02月23日医药生物板块跑输大盘，医药生物板块全周上涨2.09%，沪深300指数全周上涨3.71%。 进入2024年，医药板块估值和机构持仓回落至历史低位水平。
2024-02-23,解构北交所专题（五）：北交所精选标的（中）打造北交所“一揽子“值得关注标的。截至2024年2月20日，我们在北交所244支个股中，综合企业所处赛道、行业趋势、竞争格局、公司竞争优势、财务指标、未来发展前景初步研判，筛选出120余支值得关注的北交所标的。
2024-02-18,医药生物行业周报：从跌幅和反弹幅度梳理医药板块可能性机会 节前一周，万得全A走出V型反弹，反弹节奏传递从A50及沪深300，逐步向中证500、中证1000传递，在上周后面传递到中证2000，医药指数走势和市场类似，具体节奏和市场类似。暂无明显产业逻辑驱动的细分表现。反弹过程中，除了上述市场驱动特征，低PE低PB、超跌辨识度表现有一定超额。
2024-02-17,北交所策略专题报告：北交所周观察-推出85项举措提升上市公司质量，就可持续发展披露指 制定推动提高上市公司质量行动方案，就可持续发展披露指引公开征求意见 继近期发布关于开展北交所股票启用新证券代码号段仿真测试通知之后，北交所政策改革继续落地，2024年2月6日发布《推动提高北交所上市公司质量行动方案》。
